,"ТЧП, мВ",,,"Tj, C",,,"Tc, C",,,"To, C",,"t, s"
0.02783000922,545.2125952,,0.02783000922,78.6748278,,0.02783000922,24.33670506,,0.02783000922,20.88568803,43,0.02783000922
0.0317221415,540.077519,,0.0317221415,79.79935047,,0.0317221415,24.67863877,,0.0317221415,20.9763074,44,0.0317221415
0.03615860322,537.5422287,,0.03615860322,81.11660956,,0.03615860322,24.84106224,,0.03615860322,21.30798338,45,0.03615860322
0.04121552093,534.7627766,,0.04121552093,82.61822475,,0.04121552093,25.03938776,,0.04121552093,21.66530369,46,0.04121552093
0.04697966775,532.1368854,,0.04697966775,83.82558037,,0.04697966775,25.04281645,,0.04697966775,21.79182511,47,0.04697966775
0.05354995235,529.7413355,,0.05354995235,86.2575646,,0.05354995235,25.04624514,,0.05354995235,21.80535568,48,0.05354995235
0.06103911615,527.5607708,,0.06103911615,87.58167575,,0.06103911615,25.04967383,,0.06103911615,21.8961309,49,0.06103911615
0.06957566789,525.687328,,0.06957566789,88.56414601,,0.06957566789,25.03771592,,0.06957566789,21.97649255,50,0.06957566789
0.07930608876,523.276422,,0.07930608876,90.16868161,,0.07930608876,24.89753642,,0.07930608876,21.9850501,51,0.07930608876
0.09039734586,521.1982312,,0.09039734586,91.17288929,,0.09039734586,25.28050104,,0.09039734586,21.93719015,52,0.09039734586
0.1030397573,514.8919973,,0.1030397573,92.33453164,,0.1030397573,26.54701307,,0.1030397573,21.82778383,53,0.1030397573
0.1174502579,512,,0.1174502579,93.46118154,,0.1174502579,28.00354853,,0.1174502579,21.71324865,54,0.1174502579
0.1338761216,508,,0.1338761216,94.19283964,,0.1338761216,29.34916553,,0.1338761216,21.6500021,55,0.1338761216
0.1525992047,507.5229941,,0.1525992047,94.19696099,,0.1525992047,30.54665042,,0.1525992047,21.52008033,56,0.1525992047
0.1739407818,505.6783439,,0.1739407818,95.46038059,,0.1739407818,32.05770442,,0.1739407818,21.46196265,57,0.1739407818
0.1982670595,503.8202571,,0.1982670595,97.75640674,,0.1982670595,33.38037279,,0.1982670595,21.44487588,58,0.1982670595
0.2259954592,501.8751525,,0.2259954592,99.12114797,,0.2259954592,34.80616154,,0.2259954592,21.44830457,59,0.2259954592
0.2576017807,499.9704856,,0.2576017807,100.4493862,,0.2576017807,36.22364353,,0.2576017807,21.45686212,60,0.2576017807
0.2936283661,498.4916942,,0.2936283661,101.5350052,,0.2936283661,37.60178911,,0.2936283661,21.64492991,61,0.2936283661
0.3346934061,496.6336074,,0.3346934061,102.7671538,,0.3346934061,38.98604399,,0.3346934061,21.79709565,62,0.3346934061
0.3815015475,494.9597937,,0.3815015475,103.8645756,,0.3815015475,40.01487119,,0.3815015475,21.85694185,63,0.3815015475
0.4348559849,493.0863508,,0.4348559849,103.5474089,,0.4348559849,42.44597986,,0.4348559849,21.86037053,64,0.4348559849
0.4956722426,491.2129079,,0.4956722426,105.0027831,,0.4956722426,42.92665314,,0.4956722426,21.86411092,65,0.4956722426
0.5649938844,489.5698064,,0.5649938844,106.0835056,,0.5649938844,44.17259837,,0.5649938844,21.86753961,66,0.5649938844
0.6440104206,488.3259632,,0.6440104206,107.2770319,,0.6440104206,45.97255176,,0.6440104206,21.8709683,67,0.6440104206
0.7340777189,487.1281883,,0.7340777189,108.543901,,0.7340777189,47.52054728,,0.7340777189,21.87439698,68,0.7340777189
0.8367412702,485.8229207,,0.8367412702,109.9251095,,0.8367412702,48.83099186,,0.8367412702,21.87782567,69,0.8367412702
0.9537627082,484.2873118,,0.9537627082,111.0034264,,0.9537627082,50.4236798,,0.9537627082,21.88125436,70,0.9537627082
1.087150038,482.6288541,,1.087150038,111.9351795,,1.087150038,51.8168181,,1.087150038,21.88468305,71,1.087150038
1.239192091,481.0241428,,1.239192091,112.6002316,,1.239192091,53.31584052,,1.239192091,21.88811174,72,1.239192091
1.412497802,479.7111972,,1.412497802,112.9714772,,1.412497802,54.62628509,,1.412497802,22.03514862,73,1.412497802
1.610040973,478.3905736,,1.610040973,114.4950367,,1.610040973,55.83220144,,1.610040973,22.23347413,74,1.610040973
1.835211306,476.9317451,,1.835211306,114.8924088,,1.835211306,57.87952424,,1.835211306,22.23690282,75,1.835211306
